date,time,temp,humidity,pressure,rainfall
3/2/2020,0:00,27,63,1011,0
3/2/2020,3:00,26,62,1010,0
3/2/2020,6:00,26,62,1011,0
3/2/2020,9:00,30,64,1012,0
3/2/2020,12:00,35,67,1010,0
3/2/2020,15:00,35,67,1008,0
3/2/2020,18:00,31,65,1008,0
3/2/2020,21:00,28,64,1010,0
3/3/2020,0:00,27,66,1011,0
3/3/2020,3:00,27,66,1010,0
3/3/2020,6:00,26,65,1011,0
3/3/2020,9:00,31,68,1012,0
3/3/2020,12:00,35,70,1010,0
3/3/2020,15:00,35,70,1007,0
3/3/2020,18:00,30,68,1008,0
3/3/2020,21:00,28,66,1010,0
3/4/2020,0:00,26,68,1011,0
3/4/2020,3:00,26,68,1010,0
3/4/2020,6:00,26,68,1011,0
3/4/2020,9:00,30,70,1012,0
3/4/2020,12:00,34,72,1010,0
3/4/2020,15:00,33,72,1008,0
3/4/2020,18:00,30,71,1008,0
3/4/2020,21:00,27,69,1011,0
3/5/2020,0:00,26,68,1011,0
3/5/2020,3:00,25,68,1010,0
3/5/2020,6:00,25,68,1012,0
3/5/2020,9:00,30,70,1013,0
3/5/2020,12:00,34,72,1011,0
3/5/2020,15:00,34,73,1008,0
3/5/2020,18:00,31,71,1009,0
3/5/2020,21:00,27,69,1011,0
3/6/2020,0:00,26,64,1013,0
3/6/2020,3:00,25,64,1012,0
3/6/2020,6:00,26,64,1013,0
3/6/2020,9:00,30,66,1014,0
3/6/2020,12:00,33,68,1012,0
3/6/2020,15:00,32,68,1010,0
3/6/2020,18:00,30,66,1010,0
3/6/2020,21:00,27,65,1012,0
3/7/2020,0:00,25,60,1013,0
3/7/2020,3:00,25,60,1013,0
3/7/2020,6:00,25,60,1013,0
3/7/2020,9:00,30,62,1014,0
3/7/2020,12:00,34,64,1012,0
3/7/2020,15:00,34,65,1009,0
3/7/2020,18:00,31,63,1009,0
3/7/2020,21:00,28,61,1012,0
3/8/2020,0:00,26,63,1012,0
3/8/2020,3:00,25,63,1011,0
3/8/2020,6:00,25,63,1012,0
3/8/2020,9:00,30,65,1012,0
3/8/2020,12:00,34,68,1010,0
3/8/2020,15:00,35,68,1007,0
3/8/2020,18:00,34,68,1007,0
3/8/2020,21:00,30,66,1009,0
3/9/2020,0:00,27,66,1009,0
3/9/2020,3:00,25,65,1008,0
3/9/2020,6:00,25,65,1009,0
3/9/2020,9:00,30,68,1010,0
3/9/2020,12:00,34,70,1008,0.2
3/9/2020,15:00,35,70,1005,0.2
3/9/2020,18:00,32,69,1006,0.1
3/9/2020,21:00,29,67,1008,0
3/10/2020,0:00,28,67,1009,0
3/10/2020,3:00,26,66,1008,0
3/10/2020,6:00,26,66,1009,0
3/10/2020,9:00,31,68,1011,0
3/10/2020,12:00,34,70,1009,0
3/10/2020,15:00,35,70,1007,0
3/10/2020,18:00,33,69,1007,0
3/10/2020,21:00,30,68,1010,0
3/11/2020,0:00,27,58,1011,0
3/11/2020,3:00,26,57,1010,0.1
3/11/2020,6:00,26,57,1011,0.1
3/11/2020,9:00,30,59,1013,0
3/11/2020,12:00,33,61,1012,0.1
3/11/2020,15:00,33,61,1009,0.2
3/11/2020,18:00,31,60,1010,0
3/11/2020,21:00,28,58,1011,0
3/12/2020,0:00,27,57,1012,0
3/12/2020,3:00,26,56,1011,0
3/12/2020,6:00,25,56,1012,0
3/12/2020,9:00,31,59,1013,0
3/12/2020,12:00,36,61,1011,0
3/12/2020,15:00,36,62,1009,0
3/12/2020,18:00,32,60,1010,0
3/12/2020,21:00,29,58,1012,0
3/13/2020,0:00,27,58,1013,0
3/13/2020,3:00,26,57,1012,0
3/13/2020,6:00,27,58,1013,0
3/13/2020,9:00,31,60,1014,0
3/13/2020,12:00,36,62,1012,0
3/13/2020,15:00,36,63,1009,0
3/13/2020,18:00,31,60,1009,0
3/13/2020,21:00,28,58,1012,0
3/14/2020,0:00,28,58,1013,0
3/14/2020,3:00,26,57,1012,0
3/14/2020,6:00,26,57,1013,0
3/14/2020,9:00,30,59,1014,0
3/14/2020,12:00,35,62,1011,0
3/14/2020,15:00,34,62,1008,0
3/14/2020,18:00,31,60,1009,0
3/14/2020,21:00,28,58,1011,0
3/15/2020,0:00,27,64,1012,0
3/15/2020,3:00,26,63,1011,0
3/15/2020,6:00,26,63,1012,0
3/15/2020,9:00,31,66,1013,0
3/15/2020,12:00,35,68,1012,0
3/15/2020,15:00,37,69,1009,0.1
3/15/2020,18:00,31,66,1010,0
3/15/2020,21:00,29,65,1012,0
3/16/2020,0:00,27,67,1012,0
3/16/2020,3:00,27,67,1011,0
3/16/2020,6:00,27,67,1013,0
3/16/2020,9:00,31,69,1013,0
3/16/2020,12:00,36,71,1011,0
3/16/2020,15:00,37,72,1008,0
3/16/2020,18:00,32,70,1009,0
3/16/2020,21:00,29,68,1012,0
3/17/2020,0:00,27,62,1013,0
3/17/2020,3:00,26,61,1012,0
3/17/2020,6:00,26,61,1013,0
3/17/2020,9:00,32,64,1015,0
3/17/2020,12:00,36,66,1012,0
3/17/2020,15:00,36,67,1009,0
3/17/2020,18:00,31,64,1010,0
3/17/2020,21:00,28,62,1012,0
3/18/2020,0:00,27,57,1012,0
3/18/2020,3:00,25,56,1011,0
3/18/2020,6:00,25,56,1012,0
3/18/2020,9:00,31,59,1013,0
3/18/2020,12:00,36,61,1011,0
3/18/2020,15:00,36,62,1008,0
3/18/2020,18:00,31,59,1008,0
3/18/2020,21:00,28,57,1011,0
3/19/2020,0:00,27,53,1012,0
